Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,TotalOvernightStays,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23,Field24,Field25,Field26,Field27,Field28,Field29
2014,January,"139,923","2,149",654,0,0,0,"2,305",0,"2,959",2014 Totals,"2,433,944","25,788","10,815",0,0,"3,311","44,489",0,"58,615","2,433,944","25,788","10,815",0,0,"3,311","44,489",0,"58,615"
2014,February,"150,947","2,149",600,0,0,0,"1,689",0,"2,289",2014 Totals,"2,433,944","25,788","10,815",0,0,"3,311","44,489",0,"58,615","2,433,944","25,788","10,815",0,0,"3,311","44,489",0,"58,615"
2014,March,"211,113","2,149","1,040",0,0,0,"3,259",0,"4,299",2014 Totals,"2,433,944","25,788","10,815",0,0,"3,311","44,489",0,"58,615","2,433,944","25,788","10,815",0,0,"3,311","44,489",0,"58,615"
2014,April,"195,999","2,149",908,0,0,106,"4,242",0,"5,256",2014 Totals,"2,433,944","25,788","10,815",0,0,"3,311","44,489",0,"58,615","2,433,944","25,788","10,815",0,0,"3,311","44,489",0,"58,615"
2014,May,"250,626","2,149",900,0,0,469,"5,172",0,"6,541",2014 Totals,"2,433,944","25,788","10,815",0,0,"3,311","44,489",0,"58,615","2,433,944","25,788","10,815",0,0,"3,311","44,489",0,"58,615"
2014,June,"231,603","2,149","1,006",0,0,391,"4,714",0,"6,111",2014 Totals,"2,433,944","25,788","10,815",0,0,"3,311","44,489",0,"58,615","2,433,944","25,788","10,815",0,0,"3,311","44,489",0,"58,615"
2014,July,"234,814","2,149","1,103",0,0,731,"5,238",0,"7,072",2014 Totals,"2,433,944","25,788","10,815",0,0,"3,311","44,489",0,"58,615","2,433,944","25,788","10,815",0,0,"3,311","44,489",0,"58,615"
2014,August,"282,417","2,149","1,288",0,0,567,"5,005",0,"6,860",2014 Totals,"2,433,944","25,788","10,815",0,0,"3,311","44,489",0,"58,615","2,433,944","25,788","10,815",0,0,"3,311","44,489",0,"58,615"
2014,September,"231,882","2,149",938,0,0,392,"4,644",0,"5,974",2014 Totals,"2,433,944","25,788","10,815",0,0,"3,311","44,489",0,"58,615","2,433,944","25,788","10,815",0,0,"3,311","44,489",0,"58,615"
2014,October,"173,760","2,149",776,0,0,655,"3,661",0,"5,092",2014 Totals,"2,433,944","25,788","10,815",0,0,"3,311","44,489",0,"58,615","2,433,944","25,788","10,815",0,0,"3,311","44,489",0,"58,615"
2014,November,"154,743","2,149",806,0,0,0,"2,661",0,"3,467",2014 Totals,"2,433,944","25,788","10,815",0,0,"3,311","44,489",0,"58,615","2,433,944","25,788","10,815",0,0,"3,311","44,489",0,"58,615"
2014,December,"176,117","2,149",796,0,0,0,"1,899",0,"2,695",2014 Totals,"2,433,944","25,788","10,815",0,0,"3,311","44,489",0,"58,615","2,433,944","25,788","10,815",0,0,"3,311","44,489",0,"58,615"